time	p	height	baseradius	curvatureRadius	strain	tension	SourceFile
25.12	200	-6.0886166	37.0852102	0	0.0269547783470706	0	2021_02_17__12_33_03_D1_CPE.dat
26.18	200	-6.0886166	37.6387208	0	0.0261678200692042	0	2021_02_17__12_33_03_D1_CPE.dat
27.24	200	-6.0886166	37.6387208	0	0.0261678200692042	0	2021_02_17__12_33_03_D1_CPE.dat
28.3	200	-6.0886166	37.9154761	0	0.0257872023016676	0	2021_02_17__12_33_03_D1_CPE.dat
29.36	200	-5.535106	37.9154761	0	0.0213117374393947	0	2021_02_17__12_33_03_D1_CPE.dat
30.42	200	-0.5535106	38.1922314	0	0.000210039907582441	0	2021_02_17__12_33_03_D1_CPE.dat
31.48	200	-5.535106	38.4689867	0	0.0207028621706951	0	2021_02_17__12_33_03_D1_CPE.dat
32.54	200	-8.8561696	38.4689867	0	0.0529993271569795	0	2021_02_17__12_33_03_D1_CPE.dat
33.6	200	-4.9815954	38.745742	0	0.016530612244898	0	2021_02_17__12_33_03_D1_CPE.dat
34.66	200	0	39.0224973	0	0	0	2021_02_17__12_33_03_D1_CPE.dat
35.72	200	-0.5535106	39.0224973	0	0.000201197122881143	0	2021_02_17__12_33_03_D1_CPE.dat
36.78	200	-5.535106	39.2992526	0	0.0198373338623289	0	2021_02_17__12_33_03_D1_CPE.dat
37.84	200	2.2140424	39.5760079	0	0.00312973739547166	0	2021_02_17__12_33_03_D1_CPE.dat
38.9	200	2.2140424	39.5760079	0	0.00312973739547166	0	2021_02_17__12_33_03_D1_CPE.dat
39.96	200	0	39.8527632	0	0	0	2021_02_17__12_33_03_D1_CPE.dat
41.02	200	4.9815954	39.8527632	0	0.015625	0	2021_02_17__12_33_03_D1_CPE.dat
42.08	200	5.535106	40.4062738	0	0.0187652467629949	0	2021_02_17__12_33_03_D1_CPE.dat
43.14	200	5.535106	40.4062738	0	0.0187652467629949	0	2021_02_17__12_33_03_D1_CPE.dat
44.2	200	8.302659	40.4062738	0	0.0422218052167386	0	2021_02_17__12_33_03_D1_CPE.dat
45.26	200	8.302659	40.6830291	0	0.041649312786339	0	2021_02_17__12_33_03_D1_CPE.dat
46.32	200	13.2842544	40.9597844	69.7884614833333	0.105186267348429	6978.84614833333	2021_02_17__12_33_03_D1_CPE.dat
47.38	200	13.837765	40.9597844	67.539363412	0.114134404674945	6753.9363412	2021_02_17__12_33_03_D1_CPE.dat
48.44	200	13.837765	41.2365397	68.361326653	0.112607540200892	6836.1326653	2021_02_17__12_33_03_D1_CPE.dat
49.5	200	16.605318	41.2365397	59.5046957941667	0.162154857889284	5950.46957941667	2021_02_17__12_33_03_D1_CPE.dat
50.56	200	16.605318	41.513295	60.19427775	0.16	6019.427775	2021_02_17__12_33_03_D1_CPE.dat
51.62	200	16.605318	41.7900503	60.8884722941667	0.157887811938073	6088.84722941667	2021_02_17__12_33_03_D1_CPE.dat
52.68	200	24.907977	41.7900503	47.5111973627778	0.355247576860664	4751.11973627778	2021_02_17__12_33_03_D1_CPE.dat
53.74	200	19.372871	42.0668056	55.3589672942857	0.212084487534626	5535.89672942857	2021_02_17__12_33_03_D1_CPE.dat
54.8	200	24.907977	42.0668056	47.9770687844444	0.35058864265928	4797.70687844444	2021_02_17__12_33_03_D1_CPE.dat
55.86	200	19.372871	42.0668056	55.3589672942857	0.212084487534626	5535.89672942857	2021_02_17__12_33_03_D1_CPE.dat
56.92	200	24.907977	42.3435609	48.446015265	0.346020761245675	4844.6015265	2021_02_17__12_33_03_D1_CPE.dat
57.98	200	24.907977	42.3435609	48.446015265	0.346020761245675	4844.6015265	2021_02_17__12_33_03_D1_CPE.dat
59.04	200	19.372871	42.6203162	56.56878332	0.206611570247934	5656.878332	2021_02_17__12_33_03_D1_CPE.dat
60.1	200	22.140424	42.6203162	52.0922663425	0.26986001011975	5209.22663425	2021_02_17__12_33_03_D1_CPE.dat
61.16	200	22.140424	42.6203162	52.0922663425	0.26986001011975	5209.22663425	2021_02_17__12_33_03_D1_CPE.dat
62.22	200	24.907977	42.6203162	48.9180368044444	0.341541575307809	4891.80368044444	2021_02_17__12_33_03_D1_CPE.dat
63.28	200	27.67553	42.6203162	46.655408474	0.42165626581211	4665.5408474	2021_02_17__12_33_03_D1_CPE.dat
64.34	200	27.67553	42.6203162	46.655408474	0.42165626581211	4665.5408474	2021_02_17__12_33_03_D1_CPE.dat
65.4	200	27.67553	42.6203162	46.655408474	0.42165626581211	4665.5408474	2021_02_17__12_33_03_D1_CPE.dat
66.46	200	24.907977	42.8970715	49.3931334027778	0.337148803329865	4939.31334027778	2021_02_17__12_33_03_D1_CPE.dat
67.52	200	28.2290406	42.8970715	46.7078834495098	0.433048907388137	4670.78834495098	2021_02_17__12_33_03_D1_CPE.dat
68.58	200	27.67553	42.8970715	47.0829954125	0.416233090530697	4708.29954125	2021_02_17__12_33_03_D1_CPE.dat
69.64	200	30.443083	42.8970715	45.4444782386364	0.503642039542144	4544.44782386364	2021_02_17__12_33_03_D1_CPE.dat
70.7	200	27.67553	42.8970715	47.0829954125	0.416233090530697	4708.29954125	2021_02_17__12_33_03_D1_CPE.dat
71.76	200	33.210636	43.1738268	44.66830542	0.591715976331361	4466.830542	2021_02_17__12_33_03_D1_CPE.dat
72.82	200	25.4614876	43.4505821	49.8054252657609	0.343381070225973	4980.54252657609	2021_02_17__12_33_03_D1_CPE.dat
73.88	200	30.443083	43.4505821	46.2294569077273	0.490892125441194	4622.94569077273	2021_02_17__12_33_03_D1_CPE.dat
74.94	200	30.443083	43.4505821	46.2294569077273	0.490892125441194	4622.94569077273	2021_02_17__12_33_03_D1_CPE.dat
76	200	30.443083	43.4505821	46.2294569077273	0.490892125441194	4622.94569077273	2021_02_17__12_33_03_D1_CPE.dat
