Trial_ID	Time_s	Strain	Tension_mNm
1	328.95	1.99307958477509	4.48862448125
1	630.36	1.68732065044107	3.74879834875
1	931.77	1.20758362516604	3.03561781796
1	1231.65	1.18147448015123	2.68275485296
1	1533.06	1.5376	2.54864817832258
1	1834.47	1.59298708643605	2.19613287425
1	2135.88	1.44	1.68820712666667
1	2435.76	1.04300588501584	1.1709342360625
1	2737.17	0.607185022769438	0.659300234016667
1	3038.58	0.0680529300567107	0.390916814166667
1	3339.99	0.0362811791383219	0
2	328.95	1.3840830449827	4.2903985215
2	630.36	1.19417578913806	3.63838530587264
2	931.77	1.44	3.20759354066667
2	1231.65	1.46006944444444	2.83979533455172
2	1533.06	1.47080126754187	2.385047756
2	1834.47	1.26246686024492	1.859899175225
2	2135.88	0.776077097505669	1.40606635210811
2	2435.76	0.877423489825348	0.98596868702027
2	2737.17	0.765625	0.536114488
2	3038.58	0.27437641723356	0.212095172545455
2	3339.99	0.0123456790123459	0
3	328.95	2.3341049382716	3.26143501981818
3	630.36	2.4003173973418	2.91100624318636
3	931.77	2.74612244897959	2.62764810772414
3	1231.65	2.74612244897959	2.29919209425862
3	1533.06	2.07698961937716	1.808115582
3	1834.47	1.94306703397613	1.44619667880435
3	2135.88	1.63504434291857	1.04368668833333
3	2435.76	1.27788279773157	0.5771943975
3	2737.17	0.715976331360947	0.218888256363636
3	3038.58	0.0493827160493826	0.1764314825
3	3339.99	0.444444444444444	0
4	329.01	1.60099958350687	5.64497047850806
4	628.11	1.29660610581278	4.58828298833333
4	927.21	1.16502897455278	3.67215574527941
4	1226.31	1.07270408163265	2.79141087931034
4	1525.41	1.37292113049689	2.08076419295259
4	1834.48	1.36111111111111	1.41145186
4	2133.58	1.12110726643599	0.848254892333333
4	2432.68	0.534023668639054	0.453150334
4	2731.78	0.8005540166205	0.158727285294118
4	3030.88	0.0190249702734842	0
5	305.9	3.2215647600263	6.28312539855
5	629.28	3.25914323752839	5.47824331834191
5	930.81	3.05462218975732	4.70364406470722
5	1118.72	2.58290816326531	3.99068179287555
5	1533.87	2.06955986457371	3.33229203868537
5	1835.4	1.71371900826446	2.60320039840972
5	2132.56	1.44933546988406	1.91386310437903
5	2434.09	0.897506925207756	1.30334433395833
5	2735.62	0.414321574844761	0.8729281185625
5	3037.15	0.000553633217993069	8.25273826877508
5	3338.68	0.00232254318478738	0
6	305.9	3.33459357277883	6.23267686708333
6	629.28	3.65384916594878	5.65337496682292
6	930.81	3.72422283779624	5.09749990568
6	1118.72	3.79042994752917	4.4438212630175
6	1533.87	4.07048322560788	3.92493356559652
6	1835.4	4.50630963373346	3.37578526409091
6	2132.56	4.5864202365103	2.69206137779091
6	2434.09	4.07048322560788	1.96246678279826
6	2735.62	3.25286989795918	1.20599806654059
6	3037.15	2.01123966942149	0.533280787783333
6	3338.68	0.000452693526482578	0
7	326.25	2.78924434052503	5.02494031236728
7	630.75	2.61197836955413	4.59253743528125
7	930.9	2.76678756984609	4.2727183078125
7	1231.05	2.36686390532544	4.2517911618
7	1531.2	2.20027777777778	3.76171044789888
7	1831.35	1.76323568933083	3.16177516874074
7	2135.85	1.63504434291857	2.60921672083333
7	2436	1.59338887395861	2.08105583636364
7	2736.15	1.26798954876068	1.49248022566791
7	3036.3	1.0921191461732	0.922489720974138
7	3336.45	0.652994592388532	0.42034800705625
7	3640.95	0.000594883997620473	0
8	326.25	2.109410430839	8.21214541688525
8	630.75	2.16262975778547	7.588629412
8	930.9	2.34752573441401	6.97934265741412
8	1231.05	2.50081124932396	6.32271826282353
8	1531.2	2.54522369608072	5.58575605944746
8	1831.35	2.25867887333356	4.67163422355
8	2135.85	2.20635409185732	3.83086764815945
8	2436	2.16262975778547	3.0354517648
8	2736.15	1.34859521331946	1.95198949020833
8	3036.3	0.526795005202913	1.08285110671111
8	3336.45	0.452561983471074	0.49299836827027
8	3640.95	0	NaN
9	326.25	1.73005437870303	5.26034516884589
9	630.75	1.44	4.64256959833333
9	930.9	1.72873799725652	4.18717075601409
9	1231.05	1.69490922036312	3.64354324985507
9	1531.2	1.69	3.006520195
