Time	Pressure	Strain	Tension	Height	Base	Radius	Period	Dome_ID
0	0	0.000743801652892559	0	0.889499999999998	32.615	598.386416666668	20s	1
3.06	61.2	0.00528925619834711	6.89767222499999	2.372	32.615	225.414125	20s	1
6.12	122.4	0.00826446280991738	11.068938	2.965	32.615	180.865	20s	1
9.18	183.6	0.00669421487603303	18.41949915	2.66849999999999	32.615	200.648138888889	20s	1
12.24	155.2	0.00206611570247934	27.8976849999999	1.4825	32.615	359.506249999999	20s	1
15.3	93.9999999999999	0.00206611570247934	16.89679375	1.4825	32.615	359.506249999999	20s	1
18.36	32.7999999999999	0.00528925619834711	3.69679164999998	2.372	32.615	225.414125	20s	1
21.42	28.4	0.00826446280991738	2.568283	2.965	32.615	180.865	20s	1
24.48	89.6	0.018595041322314	5.45718133333334	4.44749999999999	32.615	121.812083333334	20s	1
27.54	150.8	0.018595041322314	9.18463108333335	4.44749999999999	32.615	121.812083333334	20s	1
30.6	188	0.00669421487603303	18.8609250555556	2.66849999999999	32.615	200.648138888889	20s	1
33.66	126.8	0.00206611570247934	22.79269625	1.4825	32.615	359.506249999999	20s	1
36.72	65.5999999999999	0.00669421487603303	6.58125895555556	2.66849999999999	32.615	200.648138888889	20s	1
39.78	4.39999999999975	0.00826446280991738	0.397902999999976	2.965	32.615	180.865	20s	1
42.84	56.7999999999999	0.018595041322314	3.45946316666666	4.44749999999999	32.615	121.812083333334	20s	1
45.9	118	0.0267768595041323	6.03720122222222	5.337	32.615	102.325444444444	20s	1
48.96	179.2	0.018595041322314	10.9143626666667	4.44749999999999	32.615	121.812083333334	20s	1
52.02	159.6	0.00669421487603303	16.0117214833334	2.66849999999999	32.615	200.648138888889	20s	1
55.08	98.3999999999999	0.00297520661157024	14.7531284	1.779	32.615	299.860333333334	20s	1
58.14	37.1999999999999	0.00297520661157024	5.5774022	1.779	32.615	299.860333333334	20s	1
61.2	24.0000000000002	0.018595041322314	1.46174500000002	4.44749999999999	32.615	121.812083333334	20s	1
64.26	85.2000000000003	0.064793388429752	2.90600920714287	8.30199999999999	32.615	68.2161785714286	20s	1
67.32	146.4	0.0558677685950414	5.3324567076923	7.709	32.615	72.8477692307692	20s	1
70.38	192.4	0.0238842975206611	10.3933871676471	5.04049999999999	32.615	108.039367647059	20s	1
73.44	131.2	0.00404958677685953	16.8787792571427	2.07550000000001	32.615	257.298464285714	20s	1
76.5	69.9999999999999	0.00826446280991738	6.33027499999998	2.965	32.615	180.865	20s	1
79.56	8.79999999999984	0.018595041322314	0.535973166666658	4.44749999999999	32.615	121.812083333334	20s	1
82.62	52.4000000000001	0.069504132231405	1.73326845344828	8.5985	32.615	66.1552844827586	20s	1
85.68	113.6	0.0743801652892562	3.64892666666667	8.895	32.615	64.2416666666667	20s	1
88.74	174.8	0.069504132231405	5.78197186379311	8.5985	32.615	66.1552844827586	20s	1
91.8	164	0.0267768595041323	8.39068644444442	5.337	32.615	102.325444444444	20s	1
94.86	102.8	0.00528925619834711	11.586286025	2.372	32.615	225.414125	20s	1
97.92	41.5999999999996	0.0119008264462809	3.14629986666664	3.55799999999999	32.615	151.264416666667	20s	1
100.98	19.6000000000003	0.0558677685950414	0.713908138461547	7.709	32.615	72.8477692307692	20s	1
104.04	80.7999999999999	0.113140495867769	2.18026707297297	10.9705	32.615	53.9670067567567	20s	1
107.1	142.000000000001	0.113140495867769	3.83165747972974	10.9705	32.615	53.9670067567567	20s	1
110.16	196.8	0.0743801652892562	6.32138	8.895	32.615	64.2416666666667	20s	1
113.22	135.6	0.00999999999999999	11.16704985	3.2615	32.615	164.70575	20s	1
116.28	74.4000000000001	0.00999999999999999	6.12705390000001	3.2615	32.615	164.70575	20s	1
119.34	13.1999999999999	0.04	0.559673399999996	6.523	32.615	84.799	20s	1
122.4	48.0000000000002	0.119338842975207	1.26814610526316	11.267	32.615	52.8394210526316	20s	1
125.46	109.2	0.152809917355372	2.62580193139535	12.7495	32.615	48.0916104651163	20s	1
128.52	170.4	0.152809917355372	4.09740521162791	12.7495	32.615	48.0916104651163	20s	1
131.58	168.4	0.069504132231405	5.57027495344826	8.5985	32.615	66.1552844827586	20s	1
134.64	107.2	0.016198347107438	6.97903394285713	4.151	32.615	130.205857142857	20s	1
137.7	45.9999999999998	0.0437190082644629	1.87224924999999	6.81950000000001	32.615	81.4021413043478	20s	1
140.76	15.2000000000002	0.125702479338843	0.393507197435902	11.5635	32.615	51.7772628205128	20s	1
143.82	76.4000000000004	0.21495867768595	1.63243074803922	15.1215	32.615	42.7337892156863	20s	1
