2.33666E+01,3.15236E+00
2.28161E+01,2.96278E+00
2.23272E+01,3.35453E+00
2.23904E+01,3.92230E+00
2.30225E+01,4.22543E+00
2.34436E+01,3.96794E+00
2.35404E+01,3.00879E+00
-2.91636E+01,4.04374E+00
-2.90195E+01,3.31758E+00
-2.84936E+01,3.12642E+00
-2.80442E+01,3.59412E+00
-2.82515E+01,4.28138E+00
-2.87944E+01,4.42163E+00
8.62397E+00,-4.59157E+00
9.27989E+00,-4.82202E+00
9.66045E+00,-4.54368E+00
9.72540E+00,-3.85413E+00
9.43556E+00,-3.52046E+00
8.96266E+00,-3.55577E+00
8.51837E+00,-4.16860E+00
-1.70295E+01,4.80057E-01
-1.72668E+01,8.09615E-01
-1.78517E+01,8.55544E-01
-1.82418E+01,4.94839E-01
-1.82932E+01,-6.33623E-02
-1.80522E+01,-4.27497E-01
-1.77902E+01,-4.84092E-01
-1.71743E+01,-9.80328E-02
3.41061E+01,-5.30213E+00
3.42080E+01,4.05346E+00
3.36174E+01,3.57678E+00
3.30699E+01,3.76767E+00
3.29797E+01,4.32958E+00
3.35689E+01,-5.14473E+00
-2.60533E+01,4.15642E+00
-2.64403E+01,-5.12139E+00
-2.71977E+01,-5.36963E+00
-2.71457E+01,4.08402E+00
-2.64512E+01,3.79151E+00
3.32743E+01,-1.16358E+00
3.29725E+01,-7.71807E-01
3.32194E+01,-9.80968E-02
3.39647E+01,1.18654E-01
3.43693E+01,-2.04976E-01
3.43479E+01,-7.25234E-01
3.38741E+01,-1.16404E+00
2.11514E+01,-3.72029E+00
2.11434E+01,-4.13767E+00
2.15732E+01,-4.52548E+00
2.22008E+01,-4.42693E+00
2.24779E+01,-3.77748E+00
2.21374E+01,-3.32470E+00
2.15610E+01,-3.32090E+00
-6.02723E+00,3.47950E+00
-6.09046E+00,4.19461E+00
-6.69656E+00,4.54728E+00
-7.06491E+00,4.30926E+00
-6.93492E+00,3.40531E+00
-6.37824E+00,3.19405E+00
2.04270E+01,3.92756E+00
2.07624E+01,-5.34210E+00
2.13067E+01,-5.26439E+00
2.16321E+01,4.28351E+00
2.12509E+01,3.64957E+00
2.05962E+01,3.66604E+00
1.07578E+01,-4.40655E+00
1.04473E+01,-4.82846E+00
1.05430E+01,-5.31229E+00
1.10509E+01,4.42919E+00
1.16351E+01,-5.30179E+00
1.17700E+01,-4.67532E+00
1.13822E+01,-4.30369E+00
2.55476E+01,3.17649E+00
2.59012E+01,3.41491E+00
2.59395E+01,3.97609E+00
2.55530E+01,4.38813E+00
2.49427E+01,4.36860E+00
2.45817E+01,3.93922E+00
2.46849E+01,3.51955E+00
1.30955E+01,1.78630E+00
1.25526E+01,1.51374E+00
1.18930E+01,1.90786E+00
1.18893E+01,2.36004E+00
1.24954E+01,2.70200E+00
1.30749E+01,2.40357E+00
1.71847E+01,-8.95911E-01
1.76588E+01,-7.47874E-01
1.80126E+01,-1.00003E+00
1.81071E+01,-1.54996E+00
1.78437E+01,-2.06014E+00
1.74476E+01,-2.22410E+00
1.70075E+01,-2.02952E+00
1.68555E+01,-1.56353E+00
1.03507E+01,-3.76300E+00
1.06576E+01,-3.31667E+00
1.14328E+01,-3.57736E+00
1.49210E+01,4.38687E+00
1.41188E+01,4.37038E+00
1.38711E+01,-5.11198E+00
1.43233E+01,-4.57541E+00
1.48057E+01,-4.65282E+00
1.51200E+01,-5.24109E+00
-1.77146E+01,-4.52772E+00
-1.82392E+01,-4.95212E+00
-1.81642E+01,4.51510E+00
-1.76680E+01,4.33812E+00
-1.69373E+01,-5.11824E+00
-1.69745E+01,-4.78802E+00
-3.17482E+01,2.66009E+00
-3.15892E+01,2.28968E+00
-3.07105E+01,2.18856E+00
-3.04535E+01,2.54841E+00
-3.08034E+01,3.18161E+00
-3.13693E+01,3.18877E+00
1.33493E+01,-2.80429E+00
1.36385E+01,-3.03181E+00
1.44199E+01,-2.66462E+00
1.44600E+01,-2.10683E+00
1.39335E+01,-1.75717E+00
1.34695E+01,-1.98061E+00
3.32946E+01,-4.50578E+00
3.25640E+01,-4.62114E+00
3.24622E+01,-5.40667E+00
-6.09132E+00,-1.34074E+00
-5.28813E+00,-1.21060E+00
-4.97517E+00,-1.54534E+00
-5.23584E+00,-2.23342E+00
-5.90614E+00,-2.33647E+00
-6.31349E+00,-1.78873E+00
1.83894E+01,1.94070E+00
1.82542E+01,2.17703E+00
1.84682E+01,2.83052E+00
1.89979E+01,3.18073E+00
1.93805E+01,3.13030E+00
1.96059E+01,2.82991E+00
1.95096E+01,2.18280E+00
1.90123E+01,1.82914E+00
-2.46080E+01,-1.31815E+00
-2.39259E+01,-1.15961E+00
-2.36298E+01,-6.04425E-01
-2.38703E+01,3.32909E-02
-2.42835E+01,1.53546E-01
-2.50207E+01,-3.32495E-01
